Unnamed: 0,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
614,4857894,Good Day 8 Bunk Beds Dorm room B,7472382,Chatri,Ratchathewi,13.75199,100.53672,Shared room,346,1,23,2020-01-30,0.24,10,360,0
620,5042327,A Place Like Home For Family Trip,26032778,Saifon,Ratchathewi,13.75395,100.52698,Entire home/apt,1500,15,32,2016-01-14,0.33,2,354,0
622,6013487,The Mustang Nero/No.3 The Wolf,30963587,Themustang,Khlong Toei,13.71286,100.59172,Hotel room,2329,1,477,2022-11-22,5.11,10,50,6
623,6033632,The Mustang Nero/No.2 Black Bird,30963587,Themustang,Khlong Toei,13.71136,100.59217,Hotel room,2000,1,426,2020-02-07,4.65,10,0,0
625,6033826,The Mustang Nero/No.1 Magic Dragon,30963587,Themustang,Khlong Toei,13.71174,100.5938,Hotel room,2286,1,393,2022-12-26,4.29,10,2,2
628,5071486,Studio,659899,Laidback Place,Vadhana,13.72103,100.60415,Private room,600,30,3,2020-03-01,0.04,2,320,0
631,5071615,Cozy 4 Bed Mixed Dorm@Sukhumvit road,22869250,Eve,Khlong Toei,13.72056,100.57021,Shared room,560,1,11,2017-12-17,0.13,7,1,0
637,5474276,Rent condo in Bkk sukhumvit soi 13,27353333,Davide,Vadhana,13.74024,100.5571,Private room,2000,1,0,,0.0,1,365,0
645,6072196,Chateau in Town Ratchada 17,31518772,สุรกิต,Huai Khwang,13.76715,100.58535,Private room,2500,1,0,,0.0,1,365,0
652,6081478,COZY 1 BED RM  ON SUKHUMVIT 26 NEAR EMQUARTIER,31566655,Saowanit,Khlong Toei,13.72706,100.5712,Entire home/apt,1106,180,0,,0.0,4,317,0
653,5145760,"A cozy 1 bedroom on Sukhumvit 42, Bangkok",26604074,Tid,Khlong Toei,13.716157411567432,100.58614381891556,Private room,590,30,0,,0.0,1,327,0
664,5149083,КОМНАТЫ В ТРЕХ КОМНАТНОЙ КВАРТИРЕ,11925658,Taisiia,Vadhana,13.72643,100.58235,Private room,1800,3,0,,0.0,1,365,0
666,5538498,Airport Link+BTS Phayathai+Netflix+1 BR 38 SQM,2940438,Kinifrog,Ratchathewi,13.75977,100.53252,Entire home/apt,1500,28,110,2022-12-10,1.19,19,310,1
671,5164564,"Private room, 10 mins from BTS Onnut, WIFI",9219499,Wannee,Khlong Toei,13.70578,100.59575,Private room,866,1,1,2015-12-17,0.01,4,364,0
672,6148849,Matchbox Bangkok Hostel Mixed Dorm2,31446183,Matchbox Bangkok Hostel,Vadhana,13.7341,100.56895,Shared room,390,1,52,2022-07-23,0.57,8,365,1
676,6157864,The Haven Sathorn Soi 1,4285827,Kathryn,Sathon,13.72127,100.54657,Entire home/apt,4329,3,8,2018-04-30,0.09,1,365,0
678,6159649,1 BR Apt Superb Locali w Gym Pool,31433439,Hk,Khlong Toei,13.71506,100.59139,Entire home/apt,1300,5,4,2017-02-17,0.04,1,308,0
679,6160053,Matchbox Bangkok Couple Sleep Dorm1,31446183,Matchbox Bangkok Hostel,Vadhana,13.73518,100.56692,Shared room,565,1,33,2020-02-09,0.36,8,365,0
680,6160218,Matchbox Bangkok Couple Sleep Dorm2,31446183,Matchbox Bangkok Hostel,Vadhana,13.73351,100.56788,Shared room,565,1,36,2018-10-02,0.39,8,365,0
681,6160332,Matchbox Bangkok Hostel Lady Dorm 2,31446183,Matchbox Bangkok Hostel,Vadhana,13.73541,100.56858,Shared room,390,1,7,2020-01-14,0.08,8,365,0
689,6164354,Luxury In The Heart of Sukhumvit Next to MRT & BTS,31975096,Clarence,Vadhana,13.73906,100.55939,Entire home/apt,1888,30,232,2022-09-29,2.49,3,325,2
